start,end,years,final,total_return,cagr,max_drawdown,volatility,downside_volatility,sharpe,sortino,calmar,switches,switches_per_year,total_cost,exposure_btc,exposure_gold,exposure_sp500,exposure_cash,family,variant,raw_mode,lookback,label,frequency,price_col,in_cagr,in_sharpe,in_max_drawdown,out_cagr,out_sharpe,out_max_drawdown,robust_cagr,robust_sharpe
2018-01-02,2026-05-28,8.399726214921287,3512.41487340658,-0.648758512659342,-0.11711591122513942,-0.8867680226880258,0.2874452786234149,0.24188562619350368,-0.4074372408759381,-0.48417887853926894,-0.13207051701089814,934,111.19410039113428,25017.4927641832,0.47326146692031285,0.23187486789262313,0.18896639188332276,0.10589727330374128,apex,apex_rev2,apex,10,APEX 10d,daily,open,-0.11181740115823913,-0.34593941265305755,-0.8081570707730115,-0.12825860723348703,-0.5697046834696198,-0.6743835704403074,-0.12825860723348703,-0.5697046834696198
2018-01-02,2026-05-28,8.399726214921287,9416.2957614116,-0.05837042385883995,-0.00713457877617274,-0.7711014009560122,0.28732977175715063,0.2611242533912827,-0.02483062834923644,-0.027322543515258618,-0.009252452099460956,622,74.05003259452411,23425.805456073896,0.4903825829634327,0.22743606002959205,0.18431621221729022,0.09786514478968505,confirm,confirm2,apex,10,Confirm2 10d,daily,open,-0.02732892078046667,-0.08462338723345077,-0.758695758796941,0.02058620207903128,0.09134054786670692,-0.4686328832657122,-0.02732892078046667,-0.08462338723345077
2018-01-02,2026-05-28,8.399726214921287,3162.7240569467967,-0.6837275943053203,-0.12807014459791155,-0.9003188920109575,0.27858625560224987,0.2316723514359696,-0.45971451219317533,-0.5528072029488941,-0.14224975809610452,986,117.38477835723597,27782.679175750112,0.424857324032974,0.23187486789262313,0.23737053477066158,0.10589727330374128,pure,pure_relative,pure_relative,10,Pure Relative 10d,daily,open,-0.12430513303066604,-0.39793307831728586,-0.8362590768667948,-0.1369887486358744,-0.6225260179515448,-0.6616225549613046,-0.1369887486358744,-0.6225260179515448
2018-01-02,2026-05-28,8.399726214921287,9750.230844356718,-0.02497691556432824,-0.003006774900573439,-0.7863183270386401,0.28083184431693303,0.25040916708158023,-0.010706673624876175,-0.012007447393464907,-0.003823864708708086,597,71.07374511082138,27012.873781618386,0.44472627351511307,0.22511097019657578,0.23145212428662015,0.09871063200169097,buffer,buffer_1pp,apex,10,Buffer 1pp 10d,daily,open,-0.01620319244436008,-0.05142572025816238,-0.7686201831760486,0.016690260519707678,0.07536158404407038,-0.6554341959582934,-0.01620319244436008,-0.05142572025816238
2018-01-02,2026-05-28,8.399726214921287,16476.954894209463,0.6476954894209463,0.061254455105149486,-0.6707470460007907,0.2777509727747313,0.2524502542416727,0.22053731979124205,0.24263970455941822,0.09132273555339263,439,52.26360821382008,22919.50436939724,0.44472627351511307,0.21581061086451067,0.24096385542168675,0.0984992601986895,buffer,buffer_2pp,apex,10,Buffer 2pp 10d,daily,open,0.04999295278663096,0.16059887954341895,-0.6707470460007907,0.07444528918401283,0.3388338261822218,-0.5305564637570258,0.04999295278663096,0.16059887954341895
2018-01-02,2026-05-28,8.399726214921287,13301.956907784175,0.3301956907784176,0.034552013811389504,-0.7125605529159009,0.2799253078250372,0.26004984478014564,0.12343297603154081,0.13286688880972364,0.04848993348003571,354,42.14423076923077,15858.317315575441,0.44726273515113085,0.19868949482139084,0.24561403508771928,0.10843373493975904,buffer,buffer_3pp,apex,10,Buffer 3pp 10d,daily,open,0.01363231026878342,0.043656660337245655,-0.7125605529159009,0.062448902468413614,0.2782353570695701,-0.4874208392882905,0.01363231026878342,0.043656660337245655
2018-01-02,2026-05-28,8.399726214921287,18095.19774487006,0.809519774487006,0.07315709461379805,-0.7622077743377684,0.28124932836248695,0.2764763606045437,0.26011473534795376,0.2646052431167446,0.09598051486336436,231,27.500896349413296,10483.475087738398,0.4650179666032551,0.2528006763897696,0.21179454660748256,0.07038681039949271,buffer,buffer_5pp,apex,10,Buffer 5pp 10d,daily,open,-0.018638036430907445,-0.06005826984584689,-0.7622077743377684,0.2197871989622604,0.9462093612890223,-0.31181663335185594,-0.018638036430907445,-0.06005826984584689
2018-01-02,2026-05-28,8.399726214921287,21274.159608718615,1.1274159608718617,0.09403526534629614,-0.6133834264424145,0.2811259184172804,0.2606021036217624,0.3344951823571025,0.36083847382436646,0.15330584638012604,380,45.23956975228162,22292.254667477166,0.4601564151342211,0.22109490593954767,0.22320862396956245,0.09554005495666879,confirm_buffer,confirm2_buffer2,apex,10,Confirm2+Buffer2 10d,daily,open,0.100658294753597,0.31999542344532056,-0.6133834264424145,0.08089184861477117,0.36203754093242096,-0.5118071149295036,0.08089184861477117,0.31999542344532056
2018-01-02,2026-05-28,8.399726214921287,2968.135400788617,-0.7031864599211384,-0.13463685593011399,-0.8351990109607924,0.28093643795436235,0.244615153041741,-0.4792431231436967,-0.5504027622816139,-0.16120332299631324,896,106.67014341590613,17082.458471821046,0.476854787571338,0.22764743183259353,0.19678714859437751,0.09871063200169097,apex,apex_rev2,apex,15,APEX 15d,daily,open,-0.13728180324099748,-0.43700214833291046,-0.7064200397234873,-0.1311418430494138,-0.5861636136780025,-0.6032891200296792,-0.13728180324099748,-0.5861636136780025
2018-01-02,2026-05-28,8.399726214921287,17217.095637321483,0.7217095637321482,0.0668205649082656,-0.7118365575252112,0.2852715553466577,0.26574636525620243,0.23423493739874013,0.25144488747322963,0.0938706564054193,487,57.97808018252933,28617.40141914608,0.49059395476643414,0.22151764954555062,0.19129148171633903,0.09659691397167618,confirm,confirm2,apex,15,Confirm2 15d,daily,open,0.12681196957886742,0.397044786552674,-0.6544658074938762,-0.015356696476827025,-0.06784286519444903,-0.5103113884917305,-0.015356696476827025,-0.06784286519444903
2018-01-02,2026-05-28,8.399726214921287,1650.874702568404,-0.8349125297431597,-0.19301085644556837,-0.8832515101314212,0.2702915609865498,0.23676477859411618,-0.7140839164237649,-0.8152008824608377,-0.21852309815677506,932,110.95599739243806,14598.59718683958,0.4288733882900021,0.22764743183259353,0.2447685478757134,0.09871063200169097,pure,pure_relative,pure_relative,15,Pure Relative 15d,daily,open,-0.23101241414719453,-0.7658840049212942,-0.8052509414814428,-0.13435432459558394,-0.6205617152046896,-0.6143830435153561,-0.23101241414719453,-0.7658840049212942
2018-01-02,2026-05-28,8.399726214921287,13727.714830903795,0.37277148309037944,0.03843968756305749,-0.6362145736339636,0.276881593503625,0.257776790585764,0.13883077988914502,0.1491200486890551,0.06041937603455966,487,57.97808018252933,20714.73491724318,0.4493764531811456,0.22828154724159797,0.23060663707461423,0.09173536250264215,buffer,buffer_1pp,apex,15,Buffer 1pp 15d,daily,open,0.029371060707848562,0.09491245739575693,-0.6362145736339636,0.048347986604596827,0.21896533109857563,-0.4534148636948221,0.029371060707848562,0.09491245739575693
2018-01-02,2026-05-28,8.399726214921287,27863.093205252102,1.78630932052521,0.1297475513958124,-0.6070800921273439,0.27892512962693794,0.2623966000263351,0.46516981660759504,0.494471160765004,0.21372394364168337,360,42.85853976531942,22885.344244145082,0.4466286197421264,0.2257450856055802,0.24603677869372226,0.08158951595857113,buffer,buffer_2pp,apex,15,Buffer 2pp 15d,daily,open,0.11842592327214829,0.378044109485685,-0.6034216178172281,0.1529397513463049,0.6971223910750737,-0.3684023272766541,0.11842592327214829,0.378044109485685
2018-01-02,2026-05-28,8.399726214921287,35741.40839255397,2.5741408392553966,0.16373987574007343,-0.5666075763538958,0.27980989542419926,0.2647879326787157,0.5851825772345878,0.6183811855910729,0.2889828561660524,287,34.16778031290743,21683.130256599827,0.4506446839991545,0.2136968928344959,0.25406890720777847,0.08158951595857113,buffer,buffer_3pp,apex,15,Buffer 3pp 15d,daily,open,0.1502646895945674,0.4776417021098041,-0.5614702542687304,0.1904942840228312,0.8684045887314028,-0.44395869210668326,0.1502646895945674,0.4776417021098041
