start,end,years,final,total_return,cagr,max_drawdown,drawdown_duration_weeks,volatility,downside_volatility,sharpe,sortino,calmar,worst_week,best_week,worst_month,best_month,worst_year,best_year,switches,switches_per_year,total_cost,exposure_btc,exposure_gold,exposure_sp500,exposure_cash,label,variant,lookback,raw_mode,entries,switches_ex_initial,taxable_sells,swap_costs,taxes_paid,zainetto_remaining,zainetto_created,zainetto_used,zainetto_expired,final_net,final_asset,final_liquidation_tax,timing,strategy_label,family,gross_final,gross_cagr,gross_sharpe
2018-01-05,2026-05-28,8.39151266255989,137874.44156626207,14.876830344117352,0.39024919520314927,-0.44155834217486456,142,0.42908351270627554,0.2564883671700394,0.971934755290936,1.6259652767997503,0.8837998468809452,-0.21382010705827414,0.3476575969308138,-0.2835862405008548,0.5836649244888348,-0.3890540901903199,1.8932560908341762,124,14.776835236541599,17722.533290681888,0.44419134396355353,0.2528473804100228,0.22095671981776766,0.08200455580865604,venerdi open / Pure Relative 5w,pure_relative,5,pure_relative,1,123,124,17722.533290681888,52207.91527672596,2994.7840075836866,73264.34240592933,70269.55839834565,0.0,137874.44156626207,SP500,202.00833609327324,venerdi open,Pure Relative 5w,pure,308914.50008223223,0.5050159020059877,1.1676877770815453
2018-01-02,2026-05-26,8.394250513347023,130663.239703073,9.863550478717135,0.32866179477773994,-0.5475268869320018,119,0.45715142411198945,0.3210809840068107,0.8453685401761323,1.203626036080651,0.6002660373801094,-0.27237407146489434,0.266188297280634,-0.5144692418871616,0.6977005041028954,-0.5152574687365188,1.6647580556481274,84,10.006849315068493,10512.45269672494,0.48519362186788156,0.2938496583143508,0.15945330296127563,0.06150341685649203,lunedi open / APEX 11w,apex_rev2,11,apex,1,83,84,10512.452696724939,46798.45351061626,2019.906053494531,53604.44226823345,51584.53621473891,0.0,130663.239703073,BTC,0.0,lunedi open,APEX 11w,apex,264798.79727418546,0.4774431767914973,1.0856696359112121
2018-01-04,2026-05-28,8.394250513347023,129154.0873497067,12.153978148994765,0.35929065936032645,-0.5901267482036088,149,0.4581003947153553,0.28695852159147167,0.8881608112536341,1.4178593336399874,0.608836424469887,-0.265744565869943,0.38662822691282295,-0.27380654342934874,0.944093029976266,-0.45324098485187214,2.572623019265861,123,14.652886497064578,17316.077889803993,0.4305239179954442,0.26651480637813213,0.22323462414578588,0.07972665148063782,giovedi open / Pure Relative 5w,pure_relative,5,pure_relative,1,122,123,17316.07788980399,52582.50619560605,13187.737009521967,69900.54288027188,56712.805870749915,0.0,129154.0873497067,SP500,476.744401596165,giovedi open,Pure Relative 5w,pure,289971.31469608046,0.4935134054040815,1.1072181232963674
2018-01-03,2026-05-27,8.394250513347023,128094.17013070693,12.046078803641167,0.3579575481520445,-0.5277797383703828,121,0.4650185940525869,0.28756402356811067,0.8790382532724544,1.4214891264323264,0.6782328348892369,-0.24719692900486478,0.3641144467051938,-0.34043713308578893,0.828063052097425,-0.44776888531857073,2.0140497918062055,51,6.075587084148728,6912.994976535119,0.46697038724373574,0.2824601366742597,0.18223234624145787,0.0683371298405467,mercoledi open / Confirm2+Buffer2 6w,confirm2_buffer2,6,apex,1,50,51,6912.994976535121,43921.43638903098,0.0,68447.54607987276,68447.54607987276,0.0,128094.17013070693,BTC,3239.9649575532917,mercoledi open,Confirm2+Buffer2 6w,confirm_buffer,259219.36070357956,0.47369975722105817,1.0658609365076055
2018-01-03,2026-05-27,8.394250513347023,117134.79942719701,10.794779184531626,0.3417435177929491,-0.4672650029783749,137,0.4600168535671481,0.2730376940209386,0.8554427134555411,1.4412591157489911,0.7313698128784643,-0.2029772030848529,0.38238782726656084,-0.3219381984440427,0.954171130412089,-0.416159213341577,2.9118830979068226,72,8.57729941291585,10134.408135049423,0.45785876993166286,0.25740318906605925,0.1845102505694761,0.10022779043280182,mercoledi close / Buffer 5pp 4w,buffer_5pp,4,apex,1,71,72,10134.408135049427,47921.15412151205,19121.76955282633,92062.43480289915,72940.66525007282,0.0,117134.79942719701,BTC,0.0,mercoledi close,Buffer 5pp 4w,buffer,245596.16425861057,0.4642523406497874,1.0597591715553014
2018-01-04,2026-05-28,8.394250513347023,114398.0316996414,10.651115656840346,0.3397860900357119,-0.6008660456845918,149,0.46157446889732123,0.29132640957396994,0.8536309188497381,1.3524837606676268,0.5654939107910141,-0.265744565869943,0.38662822691282295,-0.27380654342934874,0.9440930299762662,-0.46338953741953914,2.3042164459731507,96,11.436399217221135,11039.521721769848,0.4396355353075171,0.275626423690205,0.214123006833713,0.07061503416856492,giovedi open / Buffer 1pp 5w,buffer_1pp,5,apex,1,95,96,11039.521721769848,43623.10810042421,8720.523479796131,55215.64801993807,46495.12454014192,0.0,114398.0316996414,BTC,0.0,giovedi open,Buffer 1pp 5w,buffer,240131.65861835593,0.4603325915137415,1.0518363663485297
2018-01-05,2026-05-28,8.39151266255989,113955.03445890723,12.122408536411722,0.35903758769010774,-0.5800834879127843,149,0.44369468269828294,0.2925045422636136,0.9045869354379821,1.3721510448560825,0.6189412303080227,-0.21382010705827426,0.3476575969308138,-0.284934628789275,0.5836649244888348,-0.49645020225691305,1.7908062945563654,93,11.082626427406199,9353.650103242142,0.4624145785876993,0.2642369020501139,0.19817767653758542,0.07517084282460136,venerdi open / Buffer 1pp 6w,buffer_1pp,6,apex,1,92,93,9353.65010324214,39811.15944075519,0.0,50898.61193464615,50898.61193464615,0.0,113955.03445890723,BTC,1657.100414893167,venerdi open,Buffer 1pp 6w,buffer,234012.8458482643,0.4560275486408065,1.0667968234335756
2018-01-04,2026-05-28,8.394250513347023,110938.15804376897,10.298737320222942,0.3348933430988954,-0.5941164172513083,147,0.47072095602964337,0.2960558100206722,0.8383324523289012,1.3329265634185028,0.5636830314305844,-0.265744565869943,0.38662822691282295,-0.27380654342934874,0.9440930299762658,-0.46140158136579945,2.493430151456984,128,15.248532289628178,12729.30596889643,0.46697038724373574,0.26651480637813213,0.1867881548974943,0.07972665148063782,giovedi open / APEX 5w,apex_rev2,5,apex,1,127,128,12729.305968896433,42908.5176306973,8456.778474703868,54321.69933901476,45864.92086431091,0.0,110938.15804376897,BTC,0.0,giovedi open,APEX 5w,apex,237846.97221812565,0.4586704270448543,1.0368569689754032
2018-01-03,2026-05-27,8.394250513347023,103289.52716696769,9.400642430486785,0.32178713851336016,-0.5945778595077071,120,0.4935304376500938,0.3180200098678996,0.8004265077991555,1.2421697768795887,0.5412026925788834,-0.27358641943659934,0.38238782726656084,-0.3772790309186276,0.9541711304120892,-0.5769616849304426,1.8620959194842897,89,10.602495107632093,8195.429685699799,0.48519362186788156,0.2733485193621868,0.17995444191343962,0.06150341685649203,mercoledi close / APEX 8w,apex_rev2,8,apex,1,88,89,8195.429685699795,35656.87673201831,0.0,53988.37952766974,53988.37952766974,0.0,103289.52716696769,BTC,1288.9448727794604,mercoledi close,APEX 8w,apex,212321.03846429236,0.4390754453674879,0.9810976177684056
2018-01-02,2026-05-26,8.394250513347023,96984.88353560187,8.62781888956869,0.30968499708325115,-0.6813863178856151,117,0.4780223393825176,0.2995355225233977,0.791047623376339,1.2624159976211191,0.45449253815988455,-0.2568161475735129,0.3860542768685278,-0.4037056513066226,0.6452634519072704,-0.6612645131939621,2.1018883112298075,53,6.313845401174168,3993.3155931856713,0.4601366742596811,0.2733485193621868,0.17995444191343962,0.08656036446469248,lunedi close / Buffer 5pp 8w,buffer_5pp,8,apex,1,52,53,3993.315593185672,31965.313207411837,0.0,31635.34998441607,31635.34998441607,0.0,96984.88353560187,BTC,528.9905163926143,lunedi close,Buffer 5pp 8w,buffer,184333.58196035546,0.41504546751019533,0.9607183742936222
2018-01-02,2026-05-26,8.394250513347023,75993.95301853029,6.544021188582653,0.27217862673460114,-0.751542490963202,153,0.491034452539068,0.3084533471732249,0.7246896287713976,1.1536512032876807,0.36215999761472956,-0.2568161475735129,0.3860542768685278,-0.4037056513066226,0.6452634519072704,-0.7393064871103541,2.002703879905036,95,11.317270058708415,6154.6961778900395,0.5011389521640092,0.26651480637813213,0.17084282460136674,0.06150341685649203,lunedi close / APEX 8w,apex_rev2,8,apex,1,94,95,6154.696177890041,25349.52539333687,0.0,36128.274459463224,36128.274459463224,0.0,75993.95301853029,BTC,1651.709430814463,lunedi close,APEX 8w,apex,145660.3360375626,0.37590316932190215,0.8889963033153978
2018-01-05,2026-05-28,8.39151266255989,69465.74977721067,6.999277541295664,0.28119364901593635,-0.5633306265899052,149,0.46548558233157616,0.35376662907862466,0.7675851780396479,1.009987387785698,0.49916272210891244,-0.44694523264597885,0.34765759693081355,-0.25546417922803866,0.5836649244888346,-0.514443031328218,1.205738038752858,128,15.253507340946166,8270.471947349577,0.44646924829157175,0.25740318906605925,0.20956719817767655,0.08656036446469248,venerdi open / Pure Relative 6w,pure_relative,6,pure_relative,1,127,128,8270.471947349579,24329.357336409223,1508.8722329121374,36765.19637461913,35256.324141706995,0.0,69465.74977721067,SP500,101.77854842822214,venerdi open,Pure Relative 6w,pure,135030.88740355405,0.36367689978019113,0.9056163759636776
2018-01-04,2026-05-28,8.394250513347023,68791.23523762164,6.992457249711595,0.2809599372897058,-0.5847329760500778,149,0.46444128429896425,0.35285354831063453,0.7686711788136443,1.011758649448299,0.4804927185526882,-0.46005896390197154,0.3530082535674308,-0.24894008747749097,1.1097227719614522,-0.5100223615550652,1.2824991255144185,125,14.891144814090019,7620.306259240646,0.44646924829157175,0.25968109339407747,0.21184510250569477,0.08200455580865604,giovedi close / Pure Relative 6w,pure_relative,6,pure_relative,1,124,125,7620.306259240645,23333.7848502489,0.0,34454.79568198649,34454.79568198649,0.0,68791.23523762164,SP500,231.26358882718836,giovedi close,Pure Relative 6w,pure,133755.1661853366,0.3619978746222412,0.9033975679746886
2018-01-05,2026-05-28,8.39151266255989,65179.16173630531,6.505658634793194,0.2715058316303862,-0.6158940344054481,149,0.46949839780433295,0.3559888915843485,0.748948735379844,0.9877561901818567,0.44083205302107487,-0.44694523264597874,0.3476575969308138,-0.24703267810455365,0.5836649244888348,-0.514443031328218,1.0028441238005903,119,14.18099510603589,6781.3506452936535,0.4760820045558087,0.25740318906605925,0.17995444191343962,0.08656036446469248,venerdi open / APEX 6w,apex_rev2,6,apex,1,118,119,6781.350645293653,21769.90975569693,0.0,35634.28594207193,35634.28594207193,0.0,65179.16173630531,BTC,947.8160966602027,venerdi open,APEX 6w,apex,124265.43739529904,0.3502418712306752,0.8801100360777309
2018-01-04,2026-05-28,8.394250513347023,58554.38359254078,5.803096441429395,0.2566074779583465,-0.6395194539356475,149,0.46765654155931824,0.35412007862012634,0.7255540209497828,0.9581780436568217,0.4012504645154516,-0.46005896390197154,0.3530082535674306,-0.23544397608323286,1.1097227719614517,-0.5100223615550652,1.0507016182009914,120,14.295499021526417,6443.017588608633,0.4715261958997722,0.25968109339407747,0.1867881548974943,0.08200455580865604,giovedi close / APEX 6w,apex_rev2,6,apex,1,119,120,6443.017588608633,19323.411225809254,0.0,34826.06052342331,34826.06052342331,0.0,58554.38359254078,BTC,485.6896376750033,giovedi close,APEX 6w,apex,110308.40570728951,0.3310828444371072,0.8504579415202259
