start,end,years,final,total_return,cagr,max_drawdown,drawdown_duration_weeks,volatility,downside_volatility,sharpe,sortino,calmar,worst_week,best_week,worst_month,best_month,worst_year,best_year,switches,switches_per_year,total_cost,exposure_btc,exposure_gold,exposure_sp500,exposure_cash,label,variant,lookback,raw_mode,entries,switches_ex_initial,taxable_sells,swap_costs,taxes_paid,zainetto_remaining,zainetto_created,zainetto_used,zainetto_expired,final_net,final_asset,final_liquidation_tax,final_btc_equiv_net,net_gain_vs_1btc_eur
2018-01-03,2026-05-27,8.394250513347023,177090.22228700193,13.52462296700644,0.3754365948497982,-0.6057338414234503,137,0.4596653404409817,0.29036455692561125,0.9128023501966152,1.4450234818636931,0.6198045563502564,-0.24719692900486478,0.3641144467051938,-0.28485658087579546,0.8280630520974248,-0.5835069507039277,1.9962829411685146,74.0,8.815557729941291,11237.254278908245,0.4510250569476082,0.2847380410022779,0.214123006833713,0.05011389521640091,Buffer 2pp 6w,buffer_2pp,6,apex,1,73,74,11237.254278908245,61806.145900268304,0,61233.230748710805,61233.230748710805,0.0,177090.22228700193,BTC,3186.639110255086,2.7181980919312516,111940.36333717787
2018-01-03,2026-05-27,8.394250513347023,157597.70595255544,11.925881676946913,0.35646101170076183,-0.5247028588046099,120,0.47105320571516207,0.29141263295379227,0.8713722749258032,1.4085274866590907,0.6793578607764011,-0.2471969290048649,0.3641144467051938,-0.3404371330857888,0.828063052097425,-0.42452806949376964,1.4899172108827345,56.0,6.671232876712328,8280.010908027487,0.4874715261958998,0.29157175398633256,0.15945330296127563,0.06150341685649203,Confirm2 6w,confirm2,6,apex,1,55,56,8280.010908027487,53918.39249028842,0,83179.51509665248,83179.51509665247,0.0,157597.70595255544,BTC,3986.2161108194286,2.419003026145171,92447.84700273137
2018-01-03,2026-05-27,8.394250513347023,157597.70595255544,11.925881676946913,0.35646101170076183,-0.5247028588046099,120,0.47105320571516207,0.29141263295379227,0.8713722749258032,1.4085274866590907,0.6793578607764011,-0.2471969290048649,0.3641144467051938,-0.3404371330857888,0.828063052097425,-0.42452806949376964,1.4899172108827345,56.0,6.671232876712328,8280.010908027487,0.4874715261958998,0.29157175398633256,0.15945330296127563,0.06150341685649203,Confirm2+buffer 6w,confirm2_buffer2,6,apex,1,55,56,8280.010908027487,53918.39249028842,0,83179.51509665248,83179.51509665247,0.0,157597.70595255544,BTC,3986.2161108194286,2.419003026145171,92447.84700273137
2018-01-03,2026-05-27,8.394250513347023,142277.69757304052,10.669362018830444,0.34003587307652916,-0.5187696882184547,120,0.470537222445728,0.29976607742764133,0.8462622924862379,1.3283621415206568,0.6554659626399365,-0.24719692900486478,0.3641144467051938,-0.32103030291318757,0.8280630520974253,-0.4953433295230494,1.8416862091390058,92.0,10.959882583170254,13402.326981328933,0.4419134396355353,0.26879271070615035,0.23234624145785876,0.05694760820045558,Pure-relative 8w,pure_relative,8,pure_relative,1,91,92,13402.32698132893,50335.41951783502,0,70680.04321923848,70680.04321923848,0.0,142277.69757304052,SP500,883.0381475578022,2.183852733781318,77127.83862321646
2018-01-03,2026-05-27,8.394250513347023,134543.13265252064,10.034986852129718,0.33114243828649115,-0.6007292649191973,137,0.4599660486481871,0.28928821350836365,0.8412905414450699,1.3376455314948221,0.5512340710270414,-0.24719692900486478,0.3641144467051938,-0.28366402200955765,0.8280630520974248,-0.5735678183915909,1.8008073509242264,113.0,13.461594911937377,14170.115656034874,0.46924829157175396,0.2847380410022779,0.1776765375854214,0.0683371298405467,APEX Rev2 6w,apex_rev2,6,apex,1,112,113,14170.115656034874,47887.633269305814,0,71377.47235961928,71377.47235961928,0.0,134543.13265252064,BTC,2421.028123347888,2.065133137987922,69393.27370269658
2018-01-03,2026-05-27,8.394250513347023,119275.06902732869,8.782727609760155,0.3121777269410093,-0.6646657143497334,120,0.479942951939167,0.3149890731203853,0.795898457688761,1.2126955752556643,0.4696762902031499,-0.24719692900486467,0.364114446705194,-0.367657272147455,0.828063052097425,-0.647508591318021,2.009128482650451,55.0,6.552103718199608,6073.613120332048,0.44874715261959,0.28018223234624146,0.20956719817767655,0.06150341685649203,Buffer 5pp 8w,buffer_5pp,8,apex,1,54,55,6073.613120332048,39678.4613749374,0,44520.10006738238,44520.10006738238,0.0,119275.06902732869,BTC,1740.4006344531429,1.8307801574703302,54125.210077504635
2018-01-03,2026-05-27,8.394250513347023,114883.87677289198,8.422569883107316,0.30632722178934135,-0.5618964982579941,151,0.5077867381733207,0.36175108564177555,0.772883675782346,1.0848898490979453,0.5451666325364632,-0.3212295421246615,0.3641144467051938,-0.4877956341853371,0.828063052097425,-0.3185384536322262,1.2035052373738488,47.0,5.599070450097847,5312.960858508595,0.48519362186788156,0.30068337129840544,0.15261958997722094,0.06150341685649203,Confirm2 10w,confirm2,10,apex,1,46,47,5312.960858508593,37868.35384219735,0,28644.84669019788,28644.84669019788,0.0,114883.87677289198,BTC,0.26560615688387773,1.76337874900652,49734.01782306792
2018-01-03,2026-05-27,8.394250513347023,102627.260381603,7.4173041511224636,0.28888771245031974,-0.5744596673094281,151,0.48744580961586725,0.32651456368968257,0.7549430011119169,1.127036412196823,0.5028859794515612,-0.2477993330555508,0.36411444670519355,-0.4877956341853371,0.8280630520974248,-0.4633746005826904,2.2119659577787787,34.0,4.050391389432485,3423.8785287673445,0.4510250569476082,0.30296127562642367,0.1867881548974943,0.05922551252847381,Buffer 5pp 16w,buffer_5pp,16,apex,1,33,34,3423.8785287673445,32898.24348075428,0,14017.50654710425,14017.50654710425,0.0,102627.260381603,SP500,636.9500451733111,1.5752491568806406,37477.40143177895
2018-01-03,2026-05-27,8.394250513347023,100468.59943370083,7.240254645074263,0.285627746488454,-0.6613452590890655,119,0.4833819642541893,0.3074071439098632,0.7508619908162789,1.18069196241909,0.43188900587550383,-0.24719692900486478,0.3641144467051938,-0.367657272147455,0.828063052097425,-0.6448594990688601,2.063933440235501,91.0,10.840753424657533,9142.947430528848,0.49430523917995445,0.26879271070615035,0.17995444191343962,0.05694760820045558,APEX Rev2 8w originale,apex_rev2,8,apex,1,90,91,9142.947430528848,34149.197626704845,0,55973.03135253551,55973.031352535494,0.0,100468.59943370083,BTC,1465.9862754467788,1.5421153791150635,35318.740483876776
2018-01-03,2026-05-27,8.394250513347023,63626.7107749687,4.2185488995516245,0.217534002579443,-0.6872604523884321,150,0.49943419045518395,0.3289013058115329,0.6347284030818326,0.9638303665894751,0.31652338181754586,-0.2477993330555508,0.3641144467051938,-0.4877956341853371,0.828063052097425,-0.672245593784202,2.5070146075628728,65.0,7.7433953033268095,3726.824682892918,0.4783599088838269,0.3120728929384966,0.16856492027334852,0.04100227790432802,APEX Rev2 17w,apex_rev2,17,apex,1,64,65,3726.824682892917,19301.788213656622,0,23929.628178946907,23929.628178946907,0.0,63626.7107749687,SP500,620.3483037101024,0.9766208523025595,-1523.148174855356
2018-01-03,2026-05-27,8.394250513347023,51439.491563807926,3.1424408787133418,0.1844949837325469,-0.7574676834067502,148,0.6603475724028997,0.40173799964794665,0.6230106360437596,1.0240593656890975,0.2882105799796364,-0.3212295421246615,0.3641144467051938,-0.4015391137140496,0.636310762835286,-0.730493937757282,2.48230469668185,,,,,,,,BTC buy&hold,BTC buy&hold,,,1,0,1,0.0,13710.367386016129,0,0.0,0.0,0.0,51439.491563807926,BTC,13710.367386016129,0.7895564532752813,-13710.367386016129
